id,name,category,expected_direction,main_horizon,test_status,n_events,ret_T1_mean,ret_T5_mean,ret_T20_mean,n_labeled,mean,std,win_rate,t_stat,p_value,effect_size,fdr_passed,q_value
B34,뉴스감성 음 & 거래량 급증,double,negative,5,hypothesis_test,419,-0.00014926430013515712,-0.0036913588747245134,-0.0030958296248103025,418,-0.0036913588747245134,0.1191569247614149,0.45454545454545453,-0.6333665511966772,0.263420755949123,-0.030978970648291186,False,0.45157843876992515
B23,호재공시 & SMA20 상향 돌파,double,positive,5,hypothesis_test,503,-0.0034788747903280078,-1.6417886348393617e-06,-0.0030452329305910254,502,-1.6417886348393617e-06,0.09124009119771426,0.4581673306772908,-0.0004031655293446189,0.5001607595319979,-1.799415819611206e-05,False,0.7242119656831106
B24,악재공시 & SMA20 하향 돌파,double,negative,5,hypothesis_test,245,-0.0018467080397137235,0.005825612345388409,0.0063658621465062385,244,0.005825612345388409,0.10959861474549212,0.4426229508196721,0.8302931024846562,0.7964059658784454,0.05315406913596981,False,0.9999957813331957
B25,호재공시 & MACD 골든,double,positive,5,hypothesis_test,336,-0.0015463967779623545,0.0034130689683234366,0.0003969373943665696,335,0.0034130689683234366,0.12895794235249677,0.44477611940298506,0.48441699670515304,0.31420372987491324,0.02646652781566622,False,0.5141515579771307
B26,악재공시 & MACD 데드,double,negative,5,hypothesis_test,154,0.008056325476086756,0.011979738578566306,-0.01952631290580849,154,0.011979738578566306,0.13334923641287855,0.45454545454545453,1.114851874096945,0.8666689911065457,0.08983732416340505,False,0.9999957813331957
B29,뉴스감성 양 & SMA20 상향 돌파,double,positive,5,hypothesis_test,855,-0.002104299010299685,-0.0038910434094066694,0.0006801274952213552,855,-0.0038910434094066694,0.08046217893166156,0.43157894736842106,-1.4140258343148482,0.9211406219681273,-0.04835866317653944,False,0.9999957813331957
B30,뉴스감성 음 & SMA20 하향 돌파,double,negative,5,hypothesis_test,400,-0.0031223976128873002,-0.005798533323857684,-0.004512877441308398,399,-0.005798533323857684,0.0821224798778829,0.42606516290726815,-1.4104008135260677,0.0796012119949357,-0.07060835635358519,False,0.1685672724598638
B31,뉴스감성 양 & MACD 골든,double,positive,5,hypothesis_test,658,0.0005992252157174787,-0.0010170144053908117,0.01292245131341241,658,-0.0010170144053908117,0.09469244517953555,0.4513677811550152,-0.2755019772574261,0.6084913841099588,-0.0107401852752093,False,0.8113218454799451
B32,뉴스감성 음 & MACD 데드,double,negative,5,hypothesis_test,283,0.0018284854777437737,4.561404116693094e-05,0.005487862826759747,281,4.561404116693094e-05,0.1041952137482336,0.45195729537366547,0.007338443252345911,0.5029249761688268,0.0004377748221444023,False,0.7242119656831106
B35,ROE 상위 풀 ∩ RSI<30,double,positive,20,hypothesis_test,961,0.005098630821271296,0.012837012219926005,0.01939244458132442,961,0.01939244458132442,0.12775368062402614,0.5150884495317378,4.7056631095448695,1.4509355147489309e-06,0.15179558417886677,True,1.3058419632740378e-05
B38,PBR 하위 풀 ∩ MACD 골든,double,positive,20,hypothesis_test,4004,4.749284620696036e-05,-0.0004146243386924522,0.008252896315987617,3997,0.008252896315987617,0.1369261140374053,0.45809357017763325,3.8105457484591865,7.037321575828339e-05,0.06027262494087214,True,0.00031667947091227526
B27,악재공시 & RSI<30,double,two_sided,5,hypothesis_test,42,-0.07234355369565272,-0.07641975807853582,-0.021111663258632212,42,-0.07641975807853582,0.1281955005429688,0.23809523809523808,-3.8632918803265563,0.00039035970372197144,-0.5961188790157367,True,0.0015614388148878857
B28,호재공시 & RSI>70,double,two_sided,5,hypothesis_test,107,0.07662648863045587,0.08593210429286169,0.07852465027052775,107,0.08593210429286169,0.1252139871682261,0.7757009345794392,7.098956104399984,1.4909552576570747e-10,0.6862819900256921,True,5.367438927565469e-09
C1,RSI<30 & MFI<20 & 거래량 급증,triple,positive,5,hypothesis_test,166,-0.009203612055443238,-0.000931201751143151,0.007862744690233618,166,-0.000931201751143151,0.09166581407274714,0.4578313253012048,-0.13088516605226633,0.5519872032867663,-0.010158659043862716,False,0.7642899737816765
C2,RSI>70 & MFI>80 & 거래량 급증,triple,negative,5,hypothesis_test,1407,-0.013598132391922573,-0.012854809638573288,-0.013328468656729394,1407,-0.012854809638573288,0.14501177513040361,0.3646055437100213,-3.3251361275599662,0.00045326219245392504,-0.08864666077643311,True,0.0016317438928341304
C3,RSI<30 & 볼린저 하단 & 거래량 급증,triple,positive,5,hypothesis_test,634,-0.00040407023795146563,0.010403164722852134,0.011140754815651134,633,0.010403164722852134,0.10910229165311273,0.5371248025276462,2.399017727854957,0.008363892331845679,0.09535239420935965,True,0.02316154799588034
C4,RSI>70 & 볼린저 상단 & 거래량 급증,triple,negative,5,hypothesis_test,2406,-0.010569944973612593,-0.011322697086516762,-0.01147205182957589,2406,-0.011322697086516762,0.13981108678146742,0.3765586034912718,-3.972428497697459,3.661753959705121e-05,-0.08098568823955123,True,0.00018831877507054906
C5,RSI<30 & MFI<20 & 볼린저 하단,triple,positive,5,hypothesis_test,254,-0.002469622481546361,0.008502872088658651,0.005286309660430213,254,0.008502872088658651,0.08654922574620369,0.531496062992126,1.5657388118956885,0.059329834646682185,0.0982431906854073,False,0.13349212795503493
C6,RSI>70 & MFI>80 & 볼린저 상단,triple,negative,5,hypothesis_test,1473,-0.015220785995007268,-0.017454619840389336,-0.017500154160707812,1473,-0.017454619840389336,0.14046231999572756,0.35980991174473864,-4.769270229222961,1.0161135596938443e-06,-0.12426549583489901,True,1.2193362716326133e-05
C7,MACD 골든 & SMA20 상향 & 거래량 급증,triple,positive,5,hypothesis_test,2427,-0.007624203750799919,-0.007422039279923164,-0.005731947614256245,2427,-0.007422039279923164,0.12184936170038764,0.3864853728883395,-3.0007849852737984,0.9986398609528597,-0.06091159753608748,False,0.9999957813331957
C8,MACD 데드 & SMA20 하향 & 거래량 급증,triple,negative,5,hypothesis_test,433,0.0006834439079115378,0.011832398928561787,0.013449717488220199,433,0.011832398928561787,0.11788274037418067,0.5034642032332564,2.088654126977999,0.9813381475976437,0.10037431171860833,False,0.9999957813331957
C9,호재공시 & 거래량 급증 & 뉴스감성 양,triple,positive,5,hypothesis_test,30,-1.2393460590524411e-05,0.005798528555727537,0.022135199239981713,30,0.005798528555727537,0.10718053362115786,0.4666666666666667,0.296321055979784,0.3845483405481073,0.054100575541292925,False,0.6019017504231244
C10,악재공시 & 거래량 급증 & 뉴스감성 음,triple,negative,5,hypothesis_test,16,-0.03307486306196658,-0.037315533486937766,-0.03495356004988099,16,-0.037315533486937766,0.12822516202216042,0.25,-1.164062743956252,0.13129013202590256,-0.291015685989063,False,0.2625802640518051
